날짜,가격
2025-06-23,79000
2025-06-24,79000
2025-06-25,79000
2025-06-26,79000
2025-06-27,79000
2025-06-30,79000
2025-07-01,79000
2025-07-02,79000
2025-07-03,79000
2025-07-04,79000
2025-07-07,79000
2025-07-08,79000
2025-07-09,79000
2025-07-10,79000
2025-07-11,79000
2025-07-14,79000
2025-07-15,79000
2025-07-16,79000
2025-07-17,79000
2025-07-18,79000
2025-07-21,79000
2025-07-22,79000
2025-07-23,79000
2025-07-24,79000
2025-07-25,80000
2025-07-28,80000
2025-07-29,80000
2025-07-30,80000
2025-07-31,80000
2025-08-01,80000
2025-08-04,80000
2025-08-05,80000
2025-08-06,73600
2025-08-07,73600
2025-08-08,69800
2025-08-11,69800
2025-08-12,69800
2025-08-13,69800
2025-09-17,62500
2025-09-18,62000
2025-09-19,61500
2025-09-22,61200
2025-09-23,61200
2025-09-24,64600
2025-09-25,65000
2025-09-26,65000
2025-09-29,65000
2025-09-30,61000
2025-10-01,63000
2025-10-02,61000
2025-10-10,59400
2025-10-13,60400
2025-10-14,57800
2025-10-15,57800
2025-10-16,55800
2025-10-17,55800
2025-10-20,52800
2025-10-21,53200
2025-10-22,54200
2025-10-23,54200
2025-10-24,54200
2025-10-27,53200
2025-10-28,56400
2025-10-29,56400
2025-10-30,59400
2025-10-31,63000
2025-11-03,62600
2025-11-04,68000
2025-11-05,68000
2025-11-06,69400
2025-11-07,69400
2025-11-10,68400
2025-11-11,68400
2025-11-12,68400
2025-11-13,67400
2025-11-14,67400
2025-11-17,65000
2025-11-18,62000
2025-11-19,62000
2025-11-20,62000
2025-11-21,62000
2025-11-24,62000
2025-11-25,62000
2025-11-26,62000
2025-11-27,65000
2025-11-28,67000
2025-12-01,67600
2025-12-02,67600
2025-12-03,64600
2025-12-04,64600
2025-12-08,65600
2025-12-09,65600
2025-12-10,65600
2025-12-11,65600
2025-12-12,65600
2025-12-15,65600
2025-12-16,65600
2025-12-17,65600
2025-12-18,65600
2025-12-19,65600
2025-12-22,65600
2025-12-23,65600
2025-12-24,65600
2025-12-26,65600
2025-12-29,70000
2025-12-30,70000
2025-12-31,70000
