날짜,가격
2024-01-01,1764
2024-01-02,1779
2024-01-03,1774
2024-01-04,1821
2024-01-05,1812
2024-01-06,1812
2024-01-07,1812
2024-01-08,1829
2024-01-09,1823
2024-01-10,1823
2024-01-11,1823
2024-01-12,1446
2024-01-13,1446
2024-01-14,1446
2024-01-15,1434
2024-01-16,1431
2024-01-17,1411
2024-01-18,1445
2024-01-19,1439
2024-01-20,1439
2024-01-21,1439
2024-01-22,1476
2024-01-23,1468
2024-01-24,1468
2024-01-25,1468
2024-01-26,1581
2024-01-27,1581
2024-01-28,1581
2024-01-29,1592
2024-01-30,1597
2024-01-31,1589
2024-02-01,1614
2024-02-02,1582
2024-02-03,1582
2024-02-04,1582
2024-02-05,1567
2024-02-06,1564
2024-02-07,1577
2024-02-08,1596
2024-02-09,1596
2024-02-10,1596
2024-02-11,1596
2024-02-12,1596
2024-02-13,1721
2024-02-14,1746
2024-02-15,1690
2024-02-16,1661
2024-02-17,1661
2024-02-18,1661
2024-02-19,1743
2024-02-20,1758
2024-02-21,1751
2024-02-22,1756
2024-02-23,1752
2024-02-24,1752
2024-02-25,1752
2024-02-26,1776
2024-02-27,1820
2024-02-28,1820
2024-02-29,1820
2024-03-01,1820
2024-03-02,1820
2024-03-03,1820
2024-03-04,1898
2024-03-05,1911
2024-03-06,1911
2024-03-07,1911
2024-03-08,1891
2024-03-09,1891
2024-03-10,1891
2024-03-11,1890
2024-03-12,1890
2024-03-13,1890
2024-03-14,1890
2024-03-15,1792
2024-03-16,1792
2024-03-17,1792
2024-03-18,1841
2024-03-19,1845
2024-03-20,1849
2024-03-21,1875
2024-03-22,1869
2024-03-23,1869
2024-03-24,1869
2024-03-25,1858
2024-03-26,1869
2024-03-27,1888
2024-03-28,1892
2024-03-29,1901
2024-03-30,1901
2024-03-31,1901
2024-04-01,1914
2024-04-02,1930
2024-04-03,1929
2024-04-04,1948
2024-04-05,1905
2024-04-06,1905
2024-04-07,1905
2024-04-08,1978
2024-04-09,1990
2024-04-10,1990
2024-04-11,2007
2024-04-12,2019
2024-04-13,2019
2024-04-14,2019
2024-04-15,2022
2024-04-16,2034
2024-04-17,2032
2024-04-18,1755
2024-04-19,1738
2024-04-20,1738
2024-04-21,1738
2024-04-22,1738
2024-04-23,1748
2024-04-24,1751
2024-04-25,2007
2024-04-26,2015
2024-04-27,2015
2024-04-28,2015
2024-04-29,2066
2024-04-30,2103
2024-05-01,2103
2024-05-02,2183
2024-05-03,2169
2024-05-04,2169
2024-05-05,2169
2024-05-06,2169
2024-05-07,2162
2024-05-08,2166
2024-05-09,2166
2024-05-10,2046
2024-05-11,2046
2024-05-12,2046
2024-05-13,2001
2024-05-14,2050
2024-05-15,2050
2024-05-16,2143
2024-05-17,2076
2024-05-18,2076
2024-05-19,2076
2024-05-20,2061
2024-05-21,2050
2024-05-22,2064
2024-05-23,2096
2024-05-24,2172
2024-05-25,2172
2024-05-26,2172
2024-05-27,1969
2024-05-28,1981
2024-05-29,2022
2024-05-30,2094
2024-05-31,2136
2024-06-01,2136
2024-06-02,2136
2024-06-03,2164
2024-06-04,2162
2024-06-05,2133
2024-06-06,2133
2024-06-07,2058
2024-06-08,2058
2024-06-09,2058
2024-06-10,2118
2024-06-11,2103
2024-06-12,2103
2024-06-13,2139
2024-06-14,2133
2024-06-15,2133
2024-06-16,2133
2024-06-17,2105
2024-06-18,2023
2024-06-19,2040
2024-06-20,2039
2024-06-21,2056
2024-06-22,2056
2024-06-23,2056
2024-06-24,2079
2024-06-25,2090
2024-06-26,2091
2024-06-27,2086
2024-06-28,2114
2024-06-29,2114
2024-06-30,2114
2024-07-01,2146
2024-07-02,2166
2024-07-03,2171
2024-07-04,2402
2024-07-05,2436
2024-07-06,2436
2024-07-07,2436
2024-07-08,2436
2024-07-09,2444
2024-07-10,2456
2024-07-11,2465
2024-07-12,2478
2024-07-13,2478
2024-07-14,2478
2024-07-15,2476
2024-07-16,2479
2024-07-17,2491
2024-07-18,2534
2024-07-19,2697
2024-07-20,2697
2024-07-21,2697
2024-07-22,2790
2024-07-23,2811
2024-07-24,2889
2024-07-25,2949
2024-07-26,2856
2024-07-27,2856
2024-07-28,2856
2024-07-29,2893
2024-07-30,2893
2024-07-31,2909
2024-08-01,3003
2024-08-02,3011
2024-08-03,3011
2024-08-04,3011
2024-08-05,3016
2024-08-06,3023
2024-08-07,3030
2024-08-08,2980
2024-08-09,2999
2024-08-10,2999
2024-08-11,2999
2024-08-12,2988
2024-08-13,2980
2024-08-14,3021
2024-08-15,3021
2024-08-16,3170
2024-08-17,3170
2024-08-18,3170
2024-08-19,3360
2024-08-20,3417
2024-08-21,3612
2024-08-22,3749
2024-08-23,3901
2024-08-24,3901
2024-08-25,3901
2024-08-26,3960
2024-08-27,4067
2024-08-28,4101
2024-08-29,3833
2024-08-30,3718
2024-08-31,3718
2024-09-01,3718
2024-09-02,3659
2024-09-03,3651
2024-09-04,3672
2024-09-05,3725
2024-09-06,3698
2024-09-07,3698
2024-09-08,3698
2024-09-09,3700
2024-09-10,3691
2024-09-11,3694
2024-09-12,3698
2024-09-13,3681
2024-09-14,3681
2024-09-15,3681
2024-09-16,3681
2024-09-17,3681
2024-09-18,3681
2024-09-19,3826
2024-09-20,3909
