날짜,가격
2025-06-23,13700
2025-06-24,13000
2025-06-25,11700
2025-06-26,17000
2025-06-27,14000
2025-06-30,13700
2025-07-01,12000
2025-07-02,10200
2025-07-03,10700
2025-07-04,11500
2025-07-07,14200
2025-07-08,15500
2025-07-09,16500
2025-07-10,20700
2025-07-11,18700
2025-07-14,18700
2025-07-15,21000
2025-07-16,19500
2025-07-17,18200
2025-07-18,20000
2025-07-21,18500
2025-07-22,15700
2025-07-23,14500
2025-07-24,14200
2025-07-25,15000
2025-07-28,16000
2025-07-29,16700
2025-07-30,15700
