날짜,가격
2024-01-01,7571
2024-01-02,7765
2024-01-03,7808
2024-01-04,6966
2024-01-05,6613
2024-01-06,6613
2024-01-07,6613
2024-01-08,6581
2024-01-09,6558
2024-01-10,6558
2024-01-11,6558
2024-01-12,6380
2024-01-13,6380
2024-01-14,6380
2024-01-15,6210
2024-01-16,6209
2024-01-17,6149
2024-01-18,6234
2024-01-19,6130
2024-01-20,6130
2024-01-21,6130
2024-01-22,6341
2024-01-23,6387
2024-01-24,6387
2024-01-25,6387
2024-01-26,6725
2024-01-27,6725
2024-01-28,6725
2024-01-29,6709
2024-01-30,6705
2024-01-31,6790
2024-02-01,6694
2024-02-02,6837
2024-02-03,6837
2024-02-04,6837
2024-02-05,7104
2024-02-06,7449
2024-02-07,7539
2024-02-08,7505
2024-02-09,7505
2024-02-10,7505
2024-02-11,7505
2024-02-12,7505
2024-02-13,7902
2024-02-14,7935
2024-02-15,7414
2024-02-16,7124
2024-02-17,7124
2024-02-18,7124
2024-02-19,7171
2024-02-20,7053
2024-02-21,6845
2024-02-22,6531
2024-02-23,6379
2024-02-24,6379
2024-02-25,6379
2024-02-26,6280
2024-02-27,6235
2024-02-28,6235
2024-02-29,6235
2024-03-01,6235
2024-03-02,6235
2024-03-03,6235
2024-03-04,5695
2024-03-05,5616
2024-03-06,5616
2024-03-07,5616
2024-03-08,5588
2024-03-09,5588
2024-03-10,5588
2024-03-11,5599
2024-03-12,5599
2024-03-13,5599
2024-03-14,5599
2024-03-15,4922
2024-03-16,4922
2024-03-17,4922
2024-03-18,5010
2024-03-19,5051
2024-03-20,4940
2024-03-21,4858
2024-03-22,4915
2024-03-23,4915
2024-03-24,4915
2024-03-25,4908
2024-03-26,4796
2024-03-27,4744
2024-03-28,4839
2024-03-29,4742
2024-03-30,4742
2024-03-31,4742
2024-04-01,4686
2024-04-02,4573
2024-04-03,4438
2024-04-04,4364
2024-04-05,4138
2024-04-06,4138
2024-04-07,4138
2024-04-08,4262
2024-04-09,4203
2024-04-10,4203
2024-04-11,4278
2024-04-12,4171
2024-04-13,4171
2024-04-14,4171
2024-04-15,4194
2024-04-16,4125
2024-04-17,4154
2024-04-18,4186
2024-04-19,4166
2024-04-20,4166
2024-04-21,4166
2024-04-22,4158
2024-04-23,4172
2024-04-24,4227
2024-04-25,4497
2024-04-26,4580
2024-04-27,4580
2024-04-28,4580
2024-04-29,4565
2024-04-30,4576
2024-05-01,4576
2024-05-02,4756
2024-05-03,4511
2024-05-04,4511
2024-05-05,4511
2024-05-06,4511
2024-05-07,4815
2024-05-08,4862
2024-05-09,4862
2024-05-10,4909
2024-05-11,4909
2024-05-12,4909
2024-05-13,4959
2024-05-14,4954
2024-05-15,4954
2024-05-16,4927
2024-05-17,4656
2024-05-18,4656
2024-05-19,4656
2024-05-20,4813
2024-05-21,4796
2024-05-22,4787
2024-05-23,4818
2024-05-24,4830
2024-05-25,4830
2024-05-26,4830
2024-05-27,4850
2024-05-28,4863
2024-05-29,4861
2024-05-30,4859
2024-05-31,4655
2024-06-01,4655
2024-06-02,4655
2024-06-03,4902
2024-06-04,4940
2024-06-05,4922
2024-06-06,4922
2024-06-07,5149
2024-06-08,5149
2024-06-09,5149
2024-06-10,5215
2024-06-11,5257
2024-06-12,5257
2024-06-13,5149
2024-06-14,5093
2024-06-15,5093
2024-06-16,5093
2024-06-17,5231
2024-06-18,5282
2024-06-19,5313
2024-06-20,5085
2024-06-21,5149
2024-06-22,5149
2024-06-23,5149
2024-06-24,5308
2024-06-25,5435
2024-06-26,5398
2024-06-27,5579
2024-06-28,5572
2024-06-29,5572
2024-06-30,5572
2024-07-01,5724
2024-07-02,5793
2024-07-03,5863
2024-07-04,5972
2024-07-05,5854
2024-07-06,5854
2024-07-07,5854
2024-07-08,5871
2024-07-09,5880
2024-07-10,5886
2024-07-11,5844
2024-07-12,5889
2024-07-13,5889
2024-07-14,5889
2024-07-15,5843
2024-07-16,5904
2024-07-17,5903
2024-07-18,5790
2024-07-19,5785
2024-07-20,5785
2024-07-21,5785
2024-07-22,5734
2024-07-23,5777
2024-07-24,5785
2024-07-25,5886
2024-07-26,6148
2024-07-27,6148
2024-07-28,6148
2024-07-29,6075
2024-07-30,6068
2024-07-31,6023
2024-08-01,5782
2024-08-02,5695
2024-08-03,5695
2024-08-04,5695
2024-08-05,5781
2024-08-06,5691
2024-08-07,5704
2024-08-08,5770
2024-08-09,5692
2024-08-10,5692
2024-08-11,5692
2024-08-12,5631
2024-08-13,5667
2024-08-14,5670
2024-08-15,5670
2024-08-16,5676
2024-08-17,5676
2024-08-18,5676
2024-08-19,5934
2024-08-20,5940
2024-08-21,5993
2024-08-22,6219
2024-08-23,6314
2024-08-24,6314
2024-08-25,6314
2024-08-26,6568
2024-08-27,6755
2024-08-28,6984
2024-08-29,6968
2024-08-30,7055
2024-08-31,7055
2024-09-01,7055
2024-09-02,7386
2024-09-03,7406
2024-09-04,7514
2024-09-05,7694
2024-09-06,7494
2024-09-07,7494
2024-09-08,7494
2024-09-09,7371
2024-09-10,7259
2024-09-11,7150
2024-09-12,7655
2024-09-13,7751
2024-09-14,7751
2024-09-15,7751
2024-09-16,7751
2024-09-17,7751
2024-09-18,7751
2024-09-19,7188
2024-09-20,7229
2024-09-21,7229
2024-09-22,7229
2024-09-23,7214
2024-09-24,7214
2024-09-25,6752
2024-09-26,6843
2024-09-27,6956
2024-09-28,6956
2024-09-29,6956
2024-09-30,6779
2024-10-01,6779
2024-10-02,6790
2024-10-03,6790
2024-10-04,6619
2024-10-05,6619
2024-10-06,6619
2024-10-07,6394
2024-10-08,6415
2024-10-09,6415
2024-10-10,6415
2024-10-11,6364
2024-10-12,6364
2024-10-13,6364
2024-10-14,6192
2024-10-15,6133
2024-10-16,6072
2024-10-17,6072
2024-10-18,5631
2024-10-19,5631
2024-10-20,5631
2024-10-21,5450
2024-10-22,5413
2024-10-23,5394
2024-10-24,5452
2024-10-25,5388
2024-10-26,5388
2024-10-27,5388
2024-10-28,5390
2024-10-29,5289
2024-10-30,5299
2024-10-31,5299
2024-11-01,5408
2024-11-02,5408
2024-11-03,5408
2024-11-04,5516
2024-11-05,5490
2024-11-06,5552
2024-11-07,5552
2024-11-08,4967
2024-11-09,4967
2024-11-10,4967
2024-11-11,4964
2024-11-12,5061
2024-11-13,5061
2024-11-14,5255
2024-11-15,5305
2024-11-16,5305
2024-11-17,5305
2024-11-18,5443
2024-11-19,5357
2024-11-20,5434
2024-11-21,5434
2024-11-22,5766
2024-11-23,5766
2024-11-24,5766
2024-11-25,5836
2024-11-26,5780
2024-11-27,5780
2024-11-28,6233
2024-11-29,6384
2024-11-30,6384
2024-12-01,6384
2024-12-02,6418
2024-12-03,6449
2024-12-04,6414
2024-12-05,6414
2024-12-06,6414
2024-12-07,6414
2024-12-08,6414
2024-12-09,6631
2024-12-10,6720
2024-12-11,6791
2024-12-12,6791
2024-12-13,6991
2024-12-14,6991
2024-12-15,6991
2024-12-16,7062
2024-12-17,7062
2024-12-18,7025
2024-12-19,7011
2024-12-20,6952
2024-12-21,6952
2024-12-22,6952
2024-12-23,7040
2024-12-24,7111
2024-12-25,7111
2024-12-26,7269
2024-12-27,7315
2024-12-28,7315
2024-12-29,7315
2024-12-30,7290
2024-12-31,7301
