날짜,가격
2024-01-01,3312
2024-01-02,3356
2024-01-03,3396
2024-01-04,3204
2024-01-05,3089
2024-01-06,3089
2024-01-07,3089
2024-01-08,3060
2024-01-09,3038
2024-01-10,3038
2024-01-11,3038
2024-01-12,2729
2024-01-13,2729
2024-01-14,2729
2024-01-15,2726
2024-01-16,2729
2024-01-17,2731
2024-01-18,2841
2024-01-19,2898
2024-01-20,2898
2024-01-21,2898
2024-01-22,2935
2024-01-23,2962
2024-01-24,2962
2024-01-25,2962
2024-01-26,3409
2024-01-27,3409
2024-01-28,3409
2024-01-29,3272
2024-01-30,3218
2024-01-31,3204
2024-02-01,3037
2024-02-02,3011
2024-02-03,3011
2024-02-04,3011
2024-02-05,3015
2024-02-06,3004
2024-02-07,3008
2024-02-08,3028
2024-02-09,3028
2024-02-10,3028
2024-02-11,3028
2024-02-12,3028
2024-02-13,3315
2024-02-14,3361
2024-02-15,3397
2024-02-16,3520
2024-02-17,3520
2024-02-18,3520
2024-02-19,3615
2024-02-20,3657
2024-02-21,3663
2024-02-22,3733
2024-02-23,3770
2024-02-24,3770
2024-02-25,3770
2024-02-26,3786
2024-02-27,3828
2024-02-28,3828
2024-02-29,3828
2024-03-01,3828
2024-03-02,3828
2024-03-03,3828
2024-03-04,3984
2024-03-05,3917
2024-03-06,3917
2024-03-07,3917
2024-03-08,3851
2024-03-09,3851
2024-03-10,3851
2024-03-11,3628
2024-03-12,3628
2024-03-13,3628
2024-03-14,3628
2024-03-15,3348
2024-03-16,3348
2024-03-17,3348
2024-03-18,3364
2024-03-19,3400
2024-03-20,3400
2024-03-21,3462
2024-03-22,3611
2024-03-23,3611
2024-03-24,3611
2024-03-25,3798
2024-03-26,3785
2024-03-27,3851
2024-03-28,3941
2024-03-29,3973
2024-03-30,3973
2024-03-31,3973
2024-04-01,4073
2024-04-02,4046
2024-04-03,4126
2024-04-04,4244
2024-04-05,4318
2024-04-06,4318
2024-04-07,4318
2024-04-08,4347
2024-04-09,4427
2024-04-10,4427
2024-04-11,4248
2024-04-12,4246
2024-04-13,4246
2024-04-14,4246
2024-04-15,4267
2024-04-16,4403
2024-04-17,4462
2024-04-18,4477
2024-04-19,4555
2024-04-20,4555
2024-04-21,4555
2024-04-22,4502
2024-04-23,4530
2024-04-24,4578
2024-04-25,4590
2024-04-26,4624
2024-04-27,4624
2024-04-28,4624
2024-04-29,4665
2024-04-30,4712
2024-05-01,4712
2024-05-02,4348
2024-05-03,4359
2024-05-04,4359
2024-05-05,4359
