날짜,가격
2025-06-23,53600
2025-06-24,53600
2025-06-25,53600
2025-06-26,53600
2025-06-27,53600
2025-06-30,53600
2025-07-01,53600
2025-07-02,53600
2025-07-03,53600
2025-07-04,53600
2025-07-07,53600
2025-07-08,53600
2025-07-09,53600
2025-07-10,53600
2025-07-11,53600
2025-07-14,53600
2025-07-15,53600
2025-07-16,53600
2025-07-17,53600
2025-07-18,53600
2025-07-21,53600
2025-07-22,53600
2025-07-23,53600
2025-07-24,53600
2025-07-25,53600
2025-07-28,53600
2025-07-29,53600
2025-07-30,53600
2025-07-31,53600
2025-08-01,53600
2025-08-04,53600
2025-08-05,53600
2025-08-06,54000
2025-08-07,54000
2025-08-08,54000
2025-08-11,54000
2025-08-12,54000
2025-08-13,54000
2025-08-14,54000
2025-08-18,54000
2025-08-19,54000
2025-08-20,54000
2025-08-21,54000
2025-08-22,54000
2025-08-25,54000
2025-08-26,54000
2025-08-27,54000
2025-08-28,54000
2025-08-29,54000
2025-09-01,54000
2025-09-02,54000
2025-09-03,54000
2025-09-04,54000
2025-09-05,54000
2025-09-08,54000
2025-09-09,54000
2025-09-10,54000
2025-09-11,54000
2025-09-12,54000
2025-09-15,54000
2025-09-16,57000
2025-09-17,57000
2025-09-18,56000
2025-09-19,56000
2025-09-22,56000
2025-09-23,56000
2025-09-24,56000
2025-09-25,56000
2025-09-26,60400
2025-09-29,60400
2025-09-30,60400
2025-10-01,60400
2025-10-02,60400
2025-10-10,60400
2025-10-13,60400
2025-10-14,59800
2025-10-15,59800
2025-10-16,59800
2025-10-17,59800
2025-10-20,59800
2025-10-21,59400
2025-10-22,59400
2025-10-23,59400
2025-10-24,59400
2025-10-27,59400
2025-10-28,59400
2025-10-29,59400
2025-10-30,59400
2025-10-31,59400
2025-11-03,59400
2025-11-04,59400
2025-11-05,59400
2025-11-06,59400
2025-11-07,59400
2025-11-10,59400
2025-11-11,59400
2025-11-12,59400
2025-11-13,59400
2025-11-14,59400
2025-11-17,59400
2025-11-18,59400
2025-11-19,59400
2025-11-20,59400
2025-11-21,59400
2025-11-24,59400
2025-11-25,59400
2025-11-26,59400
2025-11-27,59400
2025-11-28,59400
2025-12-01,59400
2025-12-02,59400
2025-12-03,59400
2025-12-04,59400
2025-12-08,59400
2025-12-09,59400
2025-12-10,59400
2025-12-11,59400
2025-12-12,59400
2025-12-15,59400
2025-12-16,59400
2025-12-17,59400
2025-12-18,59400
2025-12-19,59400
2025-12-22,59400
2025-12-23,59400
2025-12-24,59400
2025-12-26,59400
2025-12-29,59400
2025-12-30,59400
2025-12-31,59400
