날짜,가격
2024-01-01,10208
2024-01-02,10208
2024-01-03,10278
2024-01-04,10299
2024-01-05,9922
2024-01-06,9198
2024-01-07,9198
2024-01-08,9198
2024-01-09,9198
2024-01-10,9149
2024-01-11,9149
2024-01-12,9149
2024-01-13,10039
2024-01-14,10039
2024-01-15,10039
2024-01-16,10106
2024-01-17,10093
2024-01-18,10093
2024-01-19,10200
2024-01-20,9791
2024-01-21,9791
2024-01-22,9791
2024-01-23,9787
2024-01-24,9790
2024-01-25,9790
2024-01-26,9790
2024-01-27,10255
2024-01-28,10255
2024-01-29,10255
2024-01-30,10278
2024-01-31,10279
2024-02-01,10200
2024-02-02,9720
2024-02-03,9290
2024-02-04,9290
2024-02-05,9290
2024-02-06,9370
2024-02-07,9442
2024-02-08,9376
2024-02-09,9705
2024-02-10,9705
2024-02-11,9705
2024-02-12,9705
2024-02-13,9705
2024-02-14,9649
2024-02-15,9601
2024-02-16,9647
2024-02-17,9878
2024-02-18,9878
2024-02-19,9878
2024-02-20,9915
2024-02-21,10014
2024-02-22,10017
2024-02-23,10301
2024-02-24,10311
2024-02-25,10311
2024-02-26,10311
2024-02-27,10311
2024-02-28,10377
2024-02-29,10377
2024-03-01,10377
2024-03-02,10377
2024-03-03,10377
2024-03-04,10377
2024-03-05,9418
2024-03-06,9467
2024-03-07,9467
2024-03-08,9467
2024-03-09,10134
2024-03-10,10134
2024-03-11,10134
2024-03-12,10366
2024-03-13,10366
2024-03-14,10366
2024-03-15,10366
2024-03-16,9612
2024-03-17,9612
2024-03-18,9612
2024-03-19,9572
2024-03-20,9685
2024-03-21,9630
2024-03-22,9410
2024-03-23,9608
2024-03-24,9608
2024-03-25,9608
2024-03-26,9866
2024-03-27,9926
2024-03-28,9965
2024-03-29,9743
2024-03-30,9059
2024-03-31,9059
2024-04-01,9059
2024-04-02,9382
2024-04-03,9636
2024-04-04,9454
2024-04-05,8806
2024-04-06,8630
2024-04-07,8630
2024-04-08,8630
2024-04-09,8739
2024-04-10,8838
2024-04-11,8838
2024-04-12,8736
2024-04-13,8876
2024-04-14,8876
2024-04-15,8876
2024-04-16,8836
2024-04-17,9129
2024-04-18,9313
2024-04-19,9359
2024-04-20,8903
2024-04-21,8903
2024-04-22,8903
2024-04-23,8942
2024-04-24,8989
2024-04-25,9139
2024-04-26,9831
2024-04-27,9854
2024-04-28,9854
2024-04-29,9854
2024-04-30,9854
2024-05-01,9873
2024-05-02,9873
2024-05-03,9491
2024-05-04,9280
2024-05-05,9280
2024-05-06,9280
2024-05-07,9280
2024-05-08,9280
2024-05-09,9262
2024-05-10,9262
2024-05-11,9242
2024-05-12,9242
2024-05-13,9242
2024-05-14,9280
2024-05-15,9280
2024-05-16,9280
2024-05-17,9354
2024-05-18,9322
2024-05-19,9322
2024-05-20,9322
2024-05-21,9312
2024-05-22,9292
2024-05-23,9279
2024-05-24,9034
2024-05-25,9056
2024-05-26,9056
2024-05-27,9056
2024-05-28,8916
2024-05-29,8961
2024-05-30,8993
2024-05-31,9417
2024-06-01,9615
2024-06-02,9615
2024-06-03,9615
2024-06-04,10094
2024-06-05,10298
2024-06-06,10266
2024-06-07,10266
2024-06-08,10139
2024-06-09,10139
2024-06-10,10139
2024-06-11,10153
2024-06-12,10093
2024-06-13,10093
2024-06-14,10216
2024-06-15,10353
2024-06-16,10353
2024-06-17,10353
2024-06-18,10353
2024-06-19,10384
2024-06-20,10345
2024-06-21,10436
2024-06-22,10425
2024-06-23,10425
2024-06-24,10425
2024-06-25,10425
2024-06-26,10425
2024-06-27,10402
2024-06-28,10430
2024-06-29,10209
2024-06-30,10209
2024-07-01,10209
2024-07-02,10241
2024-07-03,10344
2024-07-04,10462
2024-07-05,10451
2024-07-06,10451
2024-07-07,10451
2024-07-08,10451
2024-07-09,10496
2024-07-10,10499
2024-07-11,10447
2024-07-12,9767
2024-07-13,9537
2024-07-14,9537
2024-07-15,9537
2024-07-16,9521
2024-07-17,9603
2024-07-18,9574
2024-07-19,9435
2024-07-20,9537
2024-07-21,9537
2024-07-22,9537
2024-07-23,9602
2024-07-24,9610
2024-07-25,9636
2024-07-26,10196
2024-07-27,10212
2024-07-28,10212
2024-07-29,10212
2024-07-30,10202
2024-07-31,10202
2024-08-01,10202
2024-08-02,9792
2024-08-03,9846
2024-08-04,9846
