날짜,가격
2025-06-23,25300
2025-06-24,28300
2025-06-25,28600
2025-06-26,27000
2025-06-27,25300
2025-06-30,25300
2025-07-01,26300
2025-07-02,24300
2025-07-03,24600
2025-07-04,24300
2025-07-07,23300
2025-07-08,23300
2025-07-09,22300
2025-07-10,21600
2025-07-11,21300
2025-07-14,24600
2025-07-15,26300
2025-07-16,27000
2025-07-17,27000
2025-07-18,27300
2025-07-21,25600
2025-07-22,25600
2025-07-23,24300
2025-07-24,26300
2025-07-25,26300
2025-07-28,28600
2025-07-29,26100
2025-07-30,29000
2025-07-31,30300
2025-08-01,30600
2025-08-04,30300
2025-08-05,29300
2025-08-06,29600
2025-08-07,30300
2025-08-08,31600
2025-08-11,35600
2025-08-12,38300
2025-08-13,38100
2025-08-14,37300
2025-08-18,32600
2025-08-19,33300
2025-08-20,34600
2025-08-21,33300
2025-08-22,33300
2025-08-25,36600
2025-08-26,38000
2025-08-27,39300
2025-08-28,37600
2025-08-29,37600
2025-09-01,32300
2025-09-02,32000
2025-09-03,32600
2025-09-04,36300
2025-09-05,41600
2025-09-08,40600
2025-09-09,39000
2025-09-10,39300
2025-09-11,42000
2025-09-12,39300
2025-09-15,42000
2025-09-16,42600
2025-09-17,42300
2025-09-18,43000
2025-09-19,39600
2025-09-22,38000
2025-09-23,35600
2025-09-24,35300
2025-09-25,37000
2025-09-26,37600
2025-09-29,39600
2025-09-30,38300
2025-10-01,42600
2025-10-02,41300
2025-10-10,35600
2025-10-13,29000
2025-10-14,29000
2025-10-15,28000
2025-10-16,28000
2025-10-17,28000
2025-10-20,26300
2025-10-21,26000
2025-10-22,26000
2025-10-23,26300
2025-10-24,25600
2025-10-27,23300
2025-10-28,20300
2025-10-29,20300
2025-10-30,24000
2025-10-31,24000
2025-11-03,21300
2025-11-04,22600
2025-11-05,22600
2025-11-06,19600
2025-11-07,20300
2025-11-10,20300
2025-11-11,20000
2025-11-12,20300
2025-11-13,21600
2025-11-14,21600
2025-11-17,26600
2025-11-18,25300
2025-11-19,27000
2025-11-20,27300
2025-11-21,27300
2025-11-24,27600
2025-11-25,28300
2025-11-26,28000
2025-11-27,27300
2025-11-28,28000
2025-12-01,28000
2025-12-02,27300
2025-12-03,27300
2025-12-04,28000
2025-12-08,29600
2025-12-09,31000
2025-12-10,31600
2025-12-11,35300
2025-12-12,33000
2025-12-15,35600
2025-12-16,33300
2025-12-17,33300
2025-12-18,33300
2025-12-19,33300
2025-12-22,31000
2025-12-23,31000
2025-12-24,31000
2025-12-26,31000
2025-12-29,31300
2025-12-30,33300
2025-12-31,33300
