날짜,가격
2024-01-01,18352
2024-01-02,18352
2024-01-03,18352
2024-01-04,18352
2024-01-05,18448
2024-01-06,18448
2024-01-07,18448
2024-01-08,18448
2024-01-09,18480
2024-01-10,18480
2024-01-11,18480
2024-01-12,18480
2024-01-13,18448
2024-01-14,18448
2024-01-15,18448
2024-01-16,18448
2024-01-17,18481
2024-01-18,18615
2024-01-19,18615
2024-01-20,18658
2024-01-21,18658
2024-01-22,18658
2024-01-23,18658
2024-01-24,18528
2024-01-25,18528
2024-01-26,18528
2024-01-27,18528
2024-01-28,18528
2024-01-29,18528
2024-01-30,18528
2024-01-31,18528
2024-02-01,18528
2024-02-02,18511
2024-02-03,18511
2024-02-04,18511
2024-02-05,18511
2024-02-06,18511
2024-02-07,18511
2024-02-08,18511
2024-02-09,18511
2024-02-10,18511
2024-02-11,18511
2024-02-12,18511
2024-02-13,18511
2024-02-14,18511
2024-02-15,18511
2024-02-16,18511
2024-02-17,18511
2024-02-18,18511
2024-02-19,18511
2024-02-20,18511
2024-02-21,18511
2024-02-22,18511
2024-02-23,18511
2024-02-24,18511
2024-02-25,18511
2024-02-26,18511
2024-02-27,18511
2024-02-28,18511
2024-02-29,18511
2024-03-01,18511
2024-03-02,18511
2024-03-03,18511
2024-03-04,18511
2024-03-05,18388
2024-03-06,18447
2024-03-07,18447
2024-03-08,18447
2024-03-09,18527
2024-03-10,18527
2024-03-11,18527
2024-03-12,18543
2024-03-13,18543
2024-03-14,18543
2024-03-15,18543
2024-03-16,18543
2024-03-17,18543
2024-03-18,18543
2024-03-19,18543
2024-03-20,18575
2024-03-21,18575
2024-03-22,18575
2024-03-23,18575
2024-03-24,18575
2024-03-25,18575
2024-03-26,18658
2024-03-27,18658
2024-03-28,18658
2024-03-29,18740
2024-03-30,18693
2024-03-31,18693
2024-04-01,18693
2024-04-02,18640
2024-04-03,18640
2024-04-04,18640
2024-04-05,18640
2024-04-06,18640
2024-04-07,18640
2024-04-08,18640
2024-04-09,18640
2024-04-10,18640
2024-04-11,18640
2024-04-12,18640
2024-04-13,18640
2024-04-14,18640
2024-04-15,18640
2024-04-16,18640
2024-04-17,18640
2024-04-18,18640
2024-04-19,18705
2024-04-20,18705
2024-04-21,18705
2024-04-22,18705
2024-04-23,18705
