날짜,가격
2024-01-01,2287
2024-01-02,2445
2024-01-03,2427
2024-01-04,2323
2024-01-05,2128
2024-01-06,2128
2024-01-07,2128
2024-01-08,2220
2024-01-09,2332
2024-01-10,2332
2024-01-11,2332
2024-01-12,2125
2024-01-13,2125
2024-01-14,2125
2024-01-15,2317
2024-01-16,2366
2024-01-17,2446
2024-01-18,2422
2024-01-19,2362
2024-01-20,2362
2024-01-21,2362
2024-01-22,2435
2024-01-23,2449
2024-01-24,2449
2024-01-25,2449
2024-01-26,2415
2024-01-27,2415
2024-01-28,2415
2024-01-29,2416
2024-01-30,2426
2024-01-31,2431
2024-02-01,2164
2024-02-02,2092
2024-02-03,2092
2024-02-04,2092
2024-02-05,2127
2024-02-06,2109
2024-02-07,2103
2024-02-08,2022
2024-02-09,2022
2024-02-10,2022
2024-02-11,2022
2024-02-12,2022
2024-02-13,2062
2024-02-14,2073
2024-02-15,2192
2024-02-16,2067
2024-02-17,2067
2024-02-18,2067
2024-02-19,2245
2024-02-20,2316
2024-02-21,2356
2024-02-22,2375
2024-02-23,2379
2024-02-24,2379
2024-02-25,2379
2024-02-26,2386
2024-02-27,2390
2024-02-28,2390
2024-02-29,2390
2024-03-01,2390
2024-03-02,2390
2024-03-03,2390
2024-03-04,2352
2024-03-05,2377
2024-03-06,2377
2024-03-07,2377
2024-03-08,2409
2024-03-09,2409
2024-03-10,2409
2024-03-11,2419
2024-03-12,2419
2024-03-13,2419
2024-03-14,2419
2024-03-15,2356
2024-03-16,2356
2024-03-17,2356
2024-03-18,2498
2024-03-19,2611
2024-03-20,2665
2024-03-21,2537
2024-03-22,2651
2024-03-23,2651
2024-03-24,2651
2024-03-25,2751
2024-03-26,2772
2024-03-27,2765
2024-03-28,2746
2024-03-29,2758
2024-03-30,2758
2024-03-31,2758
2024-04-01,2763
2024-04-02,2739
2024-04-03,2757
2024-04-04,2794
2024-04-05,2790
2024-04-06,2790
2024-04-07,2790
2024-04-08,2806
2024-04-09,2831
2024-04-10,2831
2024-04-11,2691
2024-04-12,2612
2024-04-13,2612
2024-04-14,2612
2024-04-15,2711
2024-04-16,2729
2024-04-17,2690
2024-04-18,2336
2024-04-19,2338
2024-04-20,2338
2024-04-21,2338
2024-04-22,2346
2024-04-23,2317
2024-04-24,2339
2024-04-25,2834
2024-04-26,2826
2024-04-27,2826
2024-04-28,2826
2024-04-29,2830
2024-04-30,2830
2024-05-01,2830
2024-05-02,2269
2024-05-03,2193
2024-05-04,2193
2024-05-05,2193
2024-05-06,2193
2024-05-07,2246
2024-05-08,2214
2024-05-09,2214
2024-05-10,2184
2024-05-11,2184
2024-05-12,2184
2024-05-13,2203
2024-05-14,2212
2024-05-15,2212
2024-05-16,2078
2024-05-17,2174
2024-05-18,2174
2024-05-19,2174
2024-05-20,2167
2024-05-21,2124
2024-05-22,2093
2024-05-23,2072
2024-05-24,2019
2024-05-25,2019
2024-05-26,2019
2024-05-27,2112
2024-05-28,2089
2024-05-29,2092
2024-05-30,2147
2024-05-31,2175
2024-06-01,2175
2024-06-02,2175
2024-06-03,2478
2024-06-04,2433
2024-06-05,2474
2024-06-06,2474
2024-06-07,2215
2024-06-08,2215
2024-06-09,2215
2024-06-10,2264
2024-06-11,2256
2024-06-12,2256
2024-06-13,2161
2024-06-14,2049
2024-06-15,2049
2024-06-16,2049
2024-06-17,2124
2024-06-18,2130
2024-06-19,2124
2024-06-20,2071
2024-06-21,2023
2024-06-22,2023
2024-06-23,2023
2024-06-24,2047
2024-06-25,2037
2024-06-26,2033
2024-06-27,2100
2024-06-28,2111
2024-06-29,2111
2024-06-30,2111
2024-07-01,2040
2024-07-02,2051
2024-07-03,2051
2024-07-04,2028
2024-07-05,2059
2024-07-06,2059
2024-07-07,2059
2024-07-08,2063
2024-07-09,2068
2024-07-10,2044
2024-07-11,1996
2024-07-12,1936
2024-07-13,1936
2024-07-14,1936
2024-07-15,1923
2024-07-16,1933
2024-07-17,1933
2024-07-18,1878
2024-07-19,1873
2024-07-20,1873
2024-07-21,1873
2024-07-22,1871
2024-07-23,1870
2024-07-24,1879
2024-07-25,1887
2024-07-26,1883
2024-07-27,1883
2024-07-28,1883
2024-07-29,1878
2024-07-30,1887
2024-07-31,1958
2024-08-01,1968
2024-08-02,1966
2024-08-03,1966
2024-08-04,1966
2024-08-05,1998
2024-08-06,2002
2024-08-07,1991
2024-08-08,1978
2024-08-09,1961
2024-08-10,1961
2024-08-11,1961
2024-08-12,1986
2024-08-13,1983
2024-08-14,1980
2024-08-15,1980
2024-08-16,1923
2024-08-17,1923
2024-08-18,1923
2024-08-19,1912
2024-08-20,1919
2024-08-21,1927
2024-08-22,1945
2024-08-23,1942
2024-08-24,1942
2024-08-25,1942
2024-08-26,1958
2024-08-27,1962
2024-08-28,1937
2024-08-29,1989
2024-08-30,1972
2024-08-31,1972
2024-09-01,1972
2024-09-02,2036
2024-09-03,2067
2024-09-04,2083
2024-09-05,2111
2024-09-06,2114
2024-09-07,2114
2024-09-08,2114
2024-09-09,2140
2024-09-10,2135
2024-09-11,2145
2024-09-12,2105
2024-09-13,2068
2024-09-14,2068
2024-09-15,2068
2024-09-16,2068
2024-09-17,2068
2024-09-18,2068
2024-09-19,2155
2024-09-20,2171
2024-09-21,2171
2024-09-22,2171
2024-09-23,2160
2024-09-24,2160
2024-09-25,2163
2024-09-26,2163
2024-09-27,2165
2024-09-28,2165
2024-09-29,2165
2024-09-30,2168
2024-10-01,2168
2024-10-02,2159
2024-10-03,2159
2024-10-04,2079
2024-10-05,2079
2024-10-06,2079
2024-10-07,2149
2024-10-08,2146
2024-10-09,2146
2024-10-10,2146
2024-10-11,2174
2024-10-12,2174
2024-10-13,2174
2024-10-14,2150
2024-10-15,2143
2024-10-16,2140
2024-10-17,2140
2024-10-18,2083
2024-10-19,2083
2024-10-20,2083
2024-10-21,2087
2024-10-22,2090
2024-10-23,2080
2024-10-24,2183
2024-10-25,2119
2024-10-26,2119
2024-10-27,2119
2024-10-28,2146
2024-10-29,2171
2024-10-30,2171
2024-10-31,2171
2024-11-01,2121
2024-11-02,2121
2024-11-03,2121
2024-11-04,2145
2024-11-05,2145
2024-11-06,2152
2024-11-07,2152
2024-11-08,1818
2024-11-09,1818
2024-11-10,1818
2024-11-11,1810
2024-11-12,1797
2024-11-13,1797
2024-11-14,1772
2024-11-15,1769
2024-11-16,1769
2024-11-17,1769
2024-11-18,1823
2024-11-19,1846
2024-11-20,1868
2024-11-21,1868
2024-11-22,1810
2024-11-23,1810
2024-11-24,1810
2024-11-25,1865
2024-11-26,1880
2024-11-27,1880
2024-11-28,1833
2024-11-29,1888
2024-11-30,1888
2024-12-01,1888
2024-12-02,1975
2024-12-03,2010
2024-12-04,1984
2024-12-05,1984
2024-12-06,1984
2024-12-07,1984
2024-12-08,1984
2024-12-09,2149
2024-12-10,2154
2024-12-11,2158
2024-12-12,2158
2024-12-13,2124
2024-12-14,2124
2024-12-15,2124
2024-12-16,2125
2024-12-17,2125
2024-12-18,2127
2024-12-19,2126
2024-12-20,2119
2024-12-21,2119
2024-12-22,2119
2024-12-23,2113
2024-12-24,2118
2024-12-25,2118
2024-12-26,2139
2024-12-27,2151
2024-12-28,2151
2024-12-29,2151
2024-12-30,2145
2024-12-31,2140
